repo_name,num_stars,num_forks,num_contributor,num_commit
jrockwel/SpamHub,1,3,3,41
Jaspreet10/moody,0,0,1,1
adazey/Muzez,0,0,1,16
sayapapaya/German-Project-Backend,0,0,2,77
Hurence/logisland,105,31,21,2538
V1EngineeringInc/V1EngineeringInc-Docs,75,79,29,913
dvnvln/Tucil4-string-match,0,0,1,2
kemin-li/MachineLearning,1,0,1,16
yashn35/Machine-Learning,1,0,2,77
allenyin/LFD,0,0,1,21
SimoneCaldarella/NLU_FirstAssignment_2021,0,0,1,30
bmcfee/ml_scraps,14,3,1,51
hazemalsaied/MWE.Identification,0,1,1,78
nltk/nltk.github.com,59,45,4,334
SumitAnglekar/SentimentalAnalysis,1,0,1,2
halldj1982/FedCeption,0,0,2,7
behnamkhaniofficial/businessFacebook,0,0,1,1
prabhatdash/sentiment_analysis,0,0,1,2
lishah28/TwitterSentimentDashboard,0,0,2,12
kikik06/DokumenJudulSkripsi_STKI,0,0,1,1
amittos/OnlineHarms-Metatool,0,5,2,12
Sivaneshmsc/MixedEmotions,2,0,1,6
lilyplanter/spam_sorting,1,0,1,3
mamelishah/programmeringB.,0,0,1,19
anshshankar/Dictionary,0,1,1,2
taba-sukosuko/Morphological-Analysis-by-NLTK,0,0,0,1
ArielBlG/SearchEngineBest,0,0,2,44
Aashvik/Bot-1,0,0,1,26
dspashish/Sentiment-Analysis-Using-Python,0,0,0,1
WDongYuan/NLP_Project,0,0,1,11
IllinoisSocialMediaMacroscope/twitter_s3_to_es_lambda,2,2,1,4
arun63/vocabulary-adaptive,0,0,3,25
WalterJoel/Topicos-en-Computacion-Grafica,0,0,1,8
Ricky-Wilson/CodeBase,3,4,1,11
dheerajnambr/chatbot-workshop,1,0,3,5
L706077/NLTK,0,0,152,11926
datalab-science/causalMapBuilder,0,0,2,8
scott-woods/hotel-rating-estimator,0,0,1,2
saikrishna7/NLP_CryptoPricePrediction,0,0,1,1
karakune/Rosetta,0,0,4,76
datalab-georgetown/topic_modeling,1,0,2,3
hcheckeye/Version-6,0,0,1,2
AndrewYinLi/lstm-neural-network-spam-filter,4,1,2,30
murari2401/ChatBot,0,0,2,3
hcheckeye/nltk,0,0,1,2
yanbronshtein/NLP_CS381_Repo,0,0,1,56
luzhihua407/AIBot,0,0,1,1
luckylion999/s3-twitter-to-es,0,0,0,1
amanvars/finderBuddy_ZHCET_WARRIORS_RGH,0,0,1,35
DamianBhatia/Squick,0,0,1,4
om202/users_test_verdict_backend,1,0,1,2
Atwinenickson/pythonchat,0,0,1,1
ctrlav/td-mood-board,0,2,2,10
3One0Seven/AIOPS-Assignment5,0,0,1,3
karlerss/poll-the-trump,1,1,1,3
anu07shreej/NLP,0,0,1,4
club9822/rest,0,0,1,23
taq12345/Tweet-Sentiment,0,0,1,1
callaunchpad/Inspector,0,0,6,161
ilanfri/TorchCox,9,1,1,31
niuers/Learning-From-Data-A-Short-Course,70,36,1,397
HOSSENkhodadadi/bachelor-thesis,2,0,1,32
steve3p0/cs545,0,1,1,80
Ariel-Vako/SensoVal,0,0,1,109
ydy8989/PHM_Study,2,0,1,61
daynebatten/keras-wtte-rnn,198,70,2,10
siskaj/PredictiveMaintenance,3,4,1,15
bevisLee/portfolio,0,0,1,3
ElementoLab/covid-metabolomics,0,0,1,42
ksonod/sparse_representation_toolbox,0,0,1,28
pysal/segregation,89,24,10,1080
xiaoqinnsmc/mytestsegmentation,0,0,1,2
yellowkingdom/pyml,0,0,1,6
YiboWANG214/CS534MachineLearning,0,0,1,19
izzortsi/crypto-phgraphs,0,0,1,6
inouye-lab/feature-shift,7,2,1,16
suizo12/TSM_DeLearn,0,0,3,98
qiaofei32/jd-crawler,10,7,0,4
kgdunn/process-improve,6,3,1,316
charliec443/RJMCMC,0,0,1,51
vickymzheng/601_cse_data_mining,0,0,2,141
tomer92808888/Machine-Deep-Learning-Computer-Vision-Projects,5,2,1,90
bobbyscharmann/ml,0,0,2,58
Elmecio/IForestStudyAndMVIForest,0,0,2,17
MislavSag/trademl,19,7,1,311
halilagin/parcoord-brushing,0,0,1,45
MizarAI/mizar-labs,15,4,3,106
gpmurphy7/hands_on_ML,0,0,1,4
snakul/testing-123,0,0,1,12
assaflehr/cifar10-BOF,4,1,1,2
nyu-dl/dl4ir-webnav,81,13,2,37
davidbau/net-intent,1,3,1,129
dstein64/pyfms,24,6,1,95
TrofimovAssya/DankMeme,1,0,1,21
CAHLR/eye-tracking-knowledge-tracing,0,0,2,48
ray306/IPython-Notebooks,4,1,1,1
vpetrescu/proto_cnn,0,0,1,211
ChenLiangbo/Learning-python,0,0,1,10
JayasreeBeera/Theano,0,0,232,23082
jenningsjin/Image-Recognition-Retrieval,0,0,3,20
ralic/NPU-CS550_HW11,0,0,1,2
hans/theano-hacked,0,1,2,10
YanzhaoWu/Theano-1,0,0,249,23769
kafluette/deeplearning-toolkit-py,0,0,1,3
MatthieuCourbariaux/Theano,0,0,127,18057
microns-ariadne/runet_code,0,0,1,2
vpetrescu/molecules_proto_cnn,0,0,1,213
tensor-tang/theano,0,0,224,22810
hch661100/lenet_fer2013_crm,0,0,1,1
kyper999/Theano,0,0,281,25581
